,tournament_index,round,players,result
40,2,Quarter-finals,[4] Celine Walser (SUI) bt [6] Kate Gadola (SUI),"11-3, 11-3, 11-3 (16m)"
41,2,Quarter-finals,[3] Ambre Allinckx (SUI) bt [5] Jasmin Ballmann (SUI),"11-2, 11-4, 11-3 (18m)"
42,2,Quarter-finals,[2] Nadia Pfister (SUI) bt Fabienne Oppliger (SUI),"11-4, 13-11, 8-11, 11-6 (28m)"
43,2,1st round,[1] Cindy Merlo (SUI) bt Alina Habegger (SUI),"11-1, 11-5, 11-1 (15m)"
44,2,1st round,[8] Cassandra Fitze (SUI) bt [WC] Nelia Malbasic (SUI),"11-7, 11-6, 11-3 (15m)"
45,2,1st round,[6] Kate Gadola (SUI) bt Sarah Lüdin (SUI),"11-2, 11-6, 11-4 (17m)"
46,2,1st round,[4] Celine Walser (SUI) bt Leila Hirt (SUI),"11-5, 11-2, 11-5 (15m)"
47,2,1st round,[3] Ambre Allinckx (SUI) bt Stella Kaufmann (SUI),"11-2, 11-7, 11-3 (17m)"
48,2,1st round,[5] Jasmin Ballmann (SUI) bt [WC] Norina Malbasic (SUI),"11-5, 11-4, 11-4 (16m)"
49,2,1st round,Fabienne Oppliger (SUI) bt [7] Alina Poessl (SUI),"12-10, 11-6, 11-4 (18m)"
50,2,1st round,[2] Nadia Pfister (SUI) bt Enya Stettler (SUI),"11-4, 11-5, 11-4 (20m)"
51,3,Final,[1] Amna Fayyaz (PAK) bt [2] Faiza Zafar (PAK),"11-9, 11-8, 11-8 (25m)"
52,3,Semi-finals,[1] Amna Fayyaz (PAK) bt [3] Madina Zafar (PAK),"11-9, 13-11, 8-11, 11-7 (26m)"
53,3,Semi-finals,[2] Faiza Zafar (PAK) bt [4] Moqaddas Ashraf (PAK),"5-11, 11-1, 11-4, 10-12, 11-3 (33m)"
54,3,Quarter-finals,[1] Amna Fayyaz (PAK) bt [6] Saima Shoukat (PAK),"11-8, 11-6, 11-9 (20m)"
55,3,Quarter-finals,[3] Madina Zafar (PAK) bt [7] Rushna Mehboob (PAK),"12-10, 11-1, 11-3 (18m)"
56,3,Quarter-finals,[4] Moqaddas Ashraf (PAK) bt [8] Noor Ul Huda (PAK),"8-11, 11-5, 11-5, 11-8 (21m)"
57,3,Quarter-finals,[2] Faiza Zafar (PAK) bt [5] Anam Mustafa Aziz (PAK),"11-6, 11-5, 11-5 (15m)"
58,3,1st round,[1] Amna Fayyaz (PAK) bt Zaynab Khan (PAK),"11-5, 11-3, 11-5 (13m)"
59,3,1st round,[6] Saima Shoukat (PAK) bt Aiman Shahbaz (PAK),"11-3, 11-7, 11-3 (16m)"
60,3,1st round,[7] Rushna Mehboob (PAK) bt Fehmina Asim (PAK),"11-4, 11-8, 11-5 (15m)"
61,3,1st round,[3] Madina Zafar (PAK) bt Ilsa Imran (PAK),"11-0, 11-2, 11-5 (12m)"
62,3,1st round,[4] Moqaddas Ashraf (PAK) bt [WC] Zahra Juma Khan (PAK),"11-3, 11-7, 11-3"
63,3,1st round,[8] Noor Ul Huda (PAK) bt Noor Ul Ain Ijaz (PAK),"11-5, 13-11, 10-12, 11-7 (26m)"
64,3,1st round,[5] Anam Mustafa Aziz (PAK) bt Nimra Aqeel (PAK),"12-10, 11-9, 7-11, 8-11, 11-4 (23m)"
65,3,1st round,[2] Faiza Zafar (PAK) bt Noorena Shams (PAK),"11-1, 11-5, 11-3 (13m)"
66,4,Final,[3] Ambre Allinckx (SUI) bt [4] Celine Walser (SUI),"11-6, 11-5, 11-5 (23m)"
67,4,Semi-finals,[4] Celine Walser (SUI) bt [1] Cindy Merlo (SUI),"11-8, 11-7, 5-11, 11-7 (31m)"
68,4,Semi-finals,[3] Ambre Allinckx (SUI) bt [2] Nadia Pfister (SUI),"11-1, 11-8, 11-7 (23m)"
69,4,Quarter-finals,[1] Cindy Merlo (SUI) bt Cassandra Fitze (SUI),"5-11, 11-4, 11-5, 11-5"
70,4,Quarter-finals,[4] Celine Walser (SUI) bt [6] Jasmin Ballmann (SUI),"11-5, 11-7, 11-3 (14m)"
71,4,Quarter-finals,[3] Ambre Allinckx (SUI) bt [5] Jacqueline Peychär (AUT),"11-9, 14-12, 12-10 (35m)"
72,4,Quarter-finals,[2] Nadia Pfister (SUI) bt [8] Alina Poessl (SUI),"11-7, 11-7, 11-4"
73,4,1st round,[1] Cindy Merlo (SUI) bt Fabienne Oppliger (SUI),"11-8, 7-11, 11-7, 11-5"
74,4,1st round,Cassandra Fitze (SUI) bt [7] Kate Gadola (SUI),"11-6, 3-11, 11-5, 11-5"
75,4,1st round,[6] Jasmin Ballmann (SUI) bt Nathalie Plain (SUI),"11-9, 11-6, 11-3"
76,4,1st round,[4] Celine Walser (SUI) bt Sarah Lüdin (SUI),"11-5, 11-3, 11-5"
77,4,1st round,[3] Ambre Allinckx (SUI) bt Enya Stettler (SUI),"11-3, 11-1, 11-1"
78,4,1st round,[5] Jacqueline Peychär (AUT) bt Leila Hirt (SUI),"11-3, 11-7, 11-1"
79,4,1st round,[8] Alina Poessl (SUI) bt Alina Habegger (SUI),"13-11, 11-9, 11-4"
80,4,1st round,[2] Nadia Pfister (SUI) bt Stella Kaufmann (SUI),"11-3, 11-6, 11-4"
81,5,Final,[2] Nour El Sherbini (EGY) bt [1] Nouran Gohar (EGY),"11-9, 11-9, 11-6 (37m)"
82,5,Semi-finals,[1] Nouran Gohar (EGY) bt [6] Hania El Hammamy (EGY),"9-11, 11-7, 13-11, 11-4 (75m)"
83,5,Semi-finals,[2] Nour El Sherbini (EGY) bt [4] Nour El Tayeb (EGY),"11-6, 11-7, 7-11, 11-8 (52m)"
84,5,Quarter-finals,[1] Nouran Gohar (EGY) bt [9/16] Nele Gilis (BEL),"11-4, 11-9, 11-9 (45m)"
85,5,Quarter-finals,[6] Hania El Hammamy (EGY) bt [3] Camille Serme (FRA),"9-11, 17-15, 11-6, 8-11, 11-8 (91m)"
86,5,Quarter-finals,[4] Nour El Tayeb (EGY) bt [9/16] Salma Hany (EGY),"11-6, 11-5, 11-5 (35m)"
87,5,Quarter-finals,[2] Nour El Sherbini (EGY) bt [9/16] Joshna Chinappa (IND),"11-5, 11-9, 11-9 (34m)"
88,5,3rd round,[1] Nouran Gohar (EGY) bt [9/16] Rowan Elaraby (EGY),"11-4, 11-9, 11-5 (34m)"
89,5,3rd round,[9/16] Nele Gilis (BEL) bt Hollie Naughton (CAN),"5-11, 11-5, 11-6, 11-5 (50m)"
90,5,3rd round,[6] Hania El Hammamy (EGY) bt Tinne Gilis (BEL),"11-9, 11-4, 13-15, 11-9 (55m)"
91,5,3rd round,[3] Camille Serme (FRA) bt Sabrina Sobhy (USA),"11-6, 12-14, 9-11, 12-10, 11-7 (67m)"
92,5,3rd round,[4] Nour El Tayeb (EGY) bt Nadine Shahin (EGY),"11-5, 11-5, 11-6 (23m)"
93,5,3rd round,[9/16] Salma Hany (EGY) bt [8] Joelle King (NZL),"6-11, 9-11, 11-9, 11-8, 11-7 (68m)"
94,5,3rd round,[9/16] Joshna Chinappa (IND) bt Farida Mohamed (EGY),"11-7, 11-6, 7-11, 10-12, 11-8 (59m)"
95,5,3rd round,[2] Nour El Sherbini (EGY) bt Danielle Letourneau (CAN),"11-1, 11-5, 11-5 (24m)"
96,5,2nd round,[1] Nouran Gohar (EGY) bt Zeina Mickawy (EGY),"4-11, 13-11, 11-9, 11-7 (42m)"
97,5,2nd round,[9/16] Rowan Elaraby (EGY) bt Haley Mendez (USA),"11-7, 11-3, 11-9 (24m)"
98,5,2nd round,Hollie Naughton (CAN) bt Lucy Turmel (ENG),"12-10, 12-14, 9-11, 11-7, 11-7 (67m)"
99,5,2nd round,[9/16] Nele Gilis (BEL) bt [7] Amanda Sobhy (USA),"8-11, 11-9, 6-11, 11-8, 12-10 (64m)"
100,5,2nd round,[6] Hania El Hammamy (EGY) bt Mariam Metwally (EGY),"11-7, 11-5, 11-7 (24m)"
101,5,2nd round,Tinne Gilis (BEL) bt [9/16] Tesni Evans (WAL),"11-9, 11-5, 11-8 (30m)"
102,5,2nd round,Sabrina Sobhy (USA) bt [9/16] Olivia Clyne (USA),"11-5, 11-9, 15-13 (36m)"
103,5,2nd round,[3] Camille Serme (FRA) bt Mayar Hany (EGY),"11-8, 11-6, 11-1 (30m)"
104,5,2nd round,[4] Nour El Tayeb (EGY) bt Melissa Alves (FRA),"11-3, 11-9, 11-4 (28m)"
105,5,2nd round,Nadine Shahin (EGY) bt [9/16] Yathreb Adel (EGY),"11-2, 11-7, 8-11, 11-9 (33m)"
106,5,2nd round,[9/16] Salma Hany (EGY) bt Olivia Fiechter (USA),"12-10, 11-5, 11-7 (35m)"
107,5,2nd round,[8] Joelle King (NZL) bt [9/16] Alison Waters (ENG),"6-11, 11-7, 11-4, 11-4 (48m)"
108,5,2nd round,Farida Mohamed (EGY) bt [5] Sarah-Jane Perry (ENG),"11-7, 11-9, 12-10 (36m)"
109,5,2nd round,[9/16] Joshna Chinappa (IND) bt Lisa Aitken (SCO),"7-11, 11-4, 11-3, 11-6 (38m)"
110,5,2nd round,Danielle Letourneau (CAN) bt Millie Tomlinson (ENG),"11-6, 11-7, 11-6 (31m)"
111,5,2nd round,[2] Nour El Sherbini (EGY) bt Donna Lobban (AUS),"11-6, 11-6, 11-8 (25m)"
112,5,1st round,[1] Nouran Gohar (EGY),bye
113,5,1st round,Zeina Mickawy (EGY) bt [WC] Sana Ibrahim (EGY),"8-11, 11-9, 11-5, 8-11, 11-4 (55m)"
114,5,1st round,[9/16] Rowan Elaraby (EGY),bye
115,5,1st round,Haley Mendez (USA) bt Julianne Courtice (ENG),"11-8, 4-11, 13-11, 11-9 (50m)"
116,5,1st round,Lucy Turmel (ENG) bt Enora Villard (FRA),"11-2, 11-2, 11-4 (23m)"
117,5,1st round,Hollie Naughton (CAN) bt Ineta Mackevica (LAT),"11-8, 11-8, 9-11, 11-5 (36m)"
118,5,1st round,[9/16] Nele Gilis (BEL),bye
119,5,1st round,[7] Amanda Sobhy (USA),bye
120,5,1st round,[6] Hania El Hammamy (EGY),bye
121,5,1st round,Mariam Metwally (EGY) bt Nicole Bunyan (CAN),"7-11, 11-5, 11-6, 11-9 (37m)"
122,5,1st round,Tinne Gilis (BEL) bt Sarah Cardwell (AUS),"11-3, 11-2, 11-4 (20m)"
123,5,1st round,[9/16] Tesni Evans (WAL),bye
124,5,1st round,Sabrina Sobhy (USA) bt [WC] Salma El Tayeb (EGY),"8-11, 11-8, 11-2, 11-7 (30m)"
125,5,1st round,[9/16] Olivia Clyne (USA),bye
126,5,1st round,Mayar Hany (EGY) bt Emilia Soini (FIN),"11-9, 11-2, 11-8 (28m)"
127,5,1st round,[3] Camille Serme (FRA),bye
128,5,1st round,[4] Nour El Tayeb (EGY),bye
129,5,1st round,Melissa Alves (FRA) bt Jana Shiha (EGY),"11-5, 11-6, 11-3 (22m)"
130,5,1st round,Nadine Shahin (EGY) bt Jasmine Hutton (ENG),"9-11, 11-5, 13-11, 11-7 (38m)"
131,5,1st round,[9/16] Yathreb Adel (EGY),bye
132,5,1st round,Olivia Fiechter (USA) bt Tessa ter Sluis (NED),"11-4, 11-5, 11-5 (18m)"
133,5,1st round,[9/16] Salma Hany (EGY),bye
134,5,1st round,[9/16] Alison Waters (ENG),bye
135,5,1st round,[8] Joelle King (NZL),bye
136,5,1st round,[5] Sarah-Jane Perry (ENG),bye
137,5,1st round,Farida Mohamed (EGY) bt Cindy Merlo (SUI),"11-5, 11-8, 11-5 (25m)"
138,5,1st round,[9/16] Joshna Chinappa (IND),bye
139,5,1st round,Lisa Aitken (SCO) bt Nada Abbas (EGY),"7-11, 11-7, 11-7, 8-11, 11-4 (48m)"
140,5,1st round,Danielle Letourneau (CAN) bt Hana Ramadan (EGY),"12-10, 6-11, 10-12, 12-10, 11-3 (61m)"
141,5,1st round,Millie Tomlinson (ENG) bt Menna Nasser (EGY),"11-5, 10-12, 11-8, 11-5 (45m)"
142,5,1st round,Donna Lobban (AUS) bt Menna Hamed (EGY),"5-11, 14-12, 11-4, 9-11, 11-9 (61m)"
143,5,1st round,[2] Nour El Sherbini (EGY),bye
144,6,Final,[5] Hania El Hammamy (EGY) bt [2] Nour El Tayeb (EGY),"9-11, 9-11, 11-9, 11-4, 11-3 (81m)"
145,6,Semi-finals,[2] Nour El Tayeb (EGY) bt [1] Nour El Sherbini (EGY),"5-11, 11-6, 11-3 (30m)"
146,6,Semi-finals,[5] Hania El Hammamy (EGY) bt [8] Joelle King (NZL),"18-20, 11-8, 11-2 (56m)"
147,6,3rd pool round,[1] Nour El Sherbini (EGY) bt [6] Sarah-Jane Perry (ENG),"11-7, 12-10 (24m)"
148,6,3rd pool round,[8] Joelle King (NZL) bt [3] Nouran Gohar (EGY),"12-10, 11-7 (28m)"
149,6,3rd pool round,[2] Nour El Tayeb (EGY) bt [5] Hania El Hammamy (EGY),"8-11, 11-3, 11-7 (40m)"
150,6,3rd pool round,[7] Amanda Sobhy (USA) bt [4] Camille Serme (FRA),"11-9, 11-5 (25m)"
151,6,2nd pool round,[1] Nour El Sherbini (EGY) bt [3] Nouran Gohar (EGY),"11-6, 11-7 (22m)"
152,6,2nd pool round,[8] Joelle King (NZL) bt [6] Sarah-Jane Perry (ENG),"11-7, 11-13, 11-8 (53m)"
153,6,2nd pool round,[4] Camille Serme (FRA) bt [2] Nour El Tayeb (EGY),"11-8, 11-5 (24m)"
154,6,2nd pool round,[5] Hania El Hammamy (EGY) bt [7] Amanda Sobhy (USA),"12-10, 11-8 (41m)"
155,6,1st pool round,[1] Nour El Sherbini (EGY) bt [8] Joelle King (NZL),"11-9, 11-1 (22m)"
156,6,1st pool round,[3] Nouran Gohar (EGY) bt [6] Sarah-Jane Perry (ENG),"11-7, 12-10 (28m)"
157,6,1st pool round,[2] Nour El Tayeb (EGY) bt [7] Amanda Sobhy (USA),"11-5, 11-5 (17m)"
158,6,1st pool round,[5] Hania El Hammamy (EGY) bt [4] Camille Serme (FRA),"9-11, 12-10, 11-7 (51m)"
159,7,Final,[2] Nour El Tayeb (EGY) bt [1] Camille Serme (FRA),"3-11, 11-8, 11-7, 11-3 (46m)"
160,7,Semi-finals,[1] Camille Serme (FRA) bt [4] Hania El Hammamy (EGY),"11-6, 11-8, 11-13, 4-11, 11-9 (69m)"
161,7,Semi-finals,[2] Nour El Tayeb (EGY) bt [3] Sarah-Jane Perry (ENG),"11-8, 11-13, 14-12, 11-6 (51m)"
162,7,Quarter-finals,[1] Camille Serme (FRA) bt [6] Joelle King (NZL),"12-10, 9-11, 11-5, 11-4 (56m)"
163,7,Quarter-finals,[4] Hania El Hammamy (EGY) bt [8] Salma Hany (EGY),"11-3, 11-5, 11-3 (23m)"
164,7,Quarter-finals,[3] Sarah-Jane Perry (ENG) bt [7] Tesni Evans (WAL),"11-7, 11-4, 11-8 (35m)"
165,7,Quarter-finals,[2] Nour El Tayeb (EGY) bt [5] Amanda Sobhy (USA),"11-7, 11-6, 12-10 (35m)"
166,7,2nd round,[1] Camille Serme (FRA) bt [10] Nele Gilis (BEL),"11-8, 6-11, 11-4, 12-10 (67m)"
167,7,2nd round,[6] Joelle King (NZL) bt Lucy Turmel (ENG),"11-4, 11-5, 11-5 (30m)"
168,7,2nd round,[8] Salma Hany (EGY) bt [14] Coline Aumard (FRA),"11-3, 11-9, 11-6 (30m)"
169,7,2nd round,[4] Hania El Hammamy (EGY) bt [11] Nadine Shahin (EGY),"11-4, 11-8, 11-7 (22m)"
170,7,2nd round,[3] Sarah-Jane Perry (ENG) bt Hollie Naughton (CAN),"9-11, 7-11, 11-5, 11-5, 11-3 (51m)"
171,7,2nd round,[7] Tesni Evans (WAL) bt [9] Alison Waters (ENG),"11-5, 5-11, 11-7, 3-11, 13-11 (61m)"
172,7,2nd round,[5] Amanda Sobhy (USA) bt [12] Tinne Gilis (BEL),"11-5, 9-11, 11-5, 14-12 (44m)"
173,7,2nd round,[2] Nour El Tayeb (EGY) bt [15] Donna Lobban (AUS),"11-7, 11-7, 11-5 (24m)"
174,7,1st round,[1] Camille Serme (FRA) bt Sabrina Sobhy (USA),"11-5, 8-11, 11-6, 11-6 (43m)"
175,7,1st round,[10] Nele Gilis (BEL) bt [WC] Lily Taylor (ENG),"11-5, 11-2, 11-4 (27m)"
176,7,1st round,Lucy Turmel (ENG) bt [13] Nada Abbas (EGY),"12-10, 13-11, 9-11, 11-6 (55m)"
177,7,1st round,[6] Joelle King (NZL) bt Ineta Mackevica (LAT),"11-6, 11-7, 11-5 (23m)"
178,7,1st round,[8] Salma Hany (EGY) bt Melissa Alves (FRA),"11-8, 11-9, 11-8 (37m)"
179,7,1st round,[14] Coline Aumard (FRA) bt Hana Ramadan (EGY),"11-9, 11-9, 11-7 (36m)"
180,7,1st round,[11] Nadine Shahin (EGY) bt Danielle Letourneau (CAN),"11-8, 7-11, 12-10, 11-8 (39m)"
181,7,1st round,[4] Hania El Hammamy (EGY) bt Enora Villard (FRA),"11-7, 11-2, 11-3 (29m)"
182,7,1st round,[3] Sarah-Jane Perry (ENG) bt Lisa Aitken (SCO),"13-11, 11-6, 11-6 (34m)"
183,7,1st round,Hollie Naughton (CAN) bt [16] Millie Tomlinson (ENG),"11-7, 11-3, 5-11, 9-11, 11-7 (52m)"
184,7,1st round,[9] Alison Waters (ENG) bt Julianne Courtice (ENG),"7-11, 11-3, 11-8, 11-9 (46m)"
185,7,1st round,[7] Tesni Evans (WAL) bt Zeina Mickawy (EGY),"14-12, 11-4, 5-11, 4-11, 11-9 (60m)"
186,7,1st round,[5] Amanda Sobhy (USA) bt Emilia Soini (FIN),"11-5, 11-2, 11-2 (24m)"
187,7,1st round,[12] Tinne Gilis (BEL) bt Haley Mendez (USA),"11-6, 6-11, 11-4, 11-2 (32m)"
188,7,1st round,[15] Donna Lobban (AUS) bt Rachael Chadwick (ENG),"13-11, 11-5, 11-8 (30m)"
189,7,1st round,[2] Nour El Tayeb (EGY) bt Jasmine Hutton (ENG),"11-5, 11-7, 11-4 (28m)"
190,8,Final,[2] Danielle Letourneau (CAN) bt [5] Menna Hamed (EGY),"6-11, 11-9, 11-8, 11-4 (44m)"
191,8,Semi-finals,[5] Menna Hamed (EGY) bt [9/16] Nikki Todd (CAN),"7-11, 11-7, 12-10, 11-6 (43m)"
192,8,Semi-finals,[2] Danielle Letourneau (CAN) bt [9/16] Anna Kimberley (ENG),"11-4, 12-14, 11-7, 9-11, 11-6 (65m)"
193,8,Quarter-finals,[9/16] Nikki Todd (CAN) bt [9/16] Alison Thomson (SCO),"11-4, 8-11, 11-8, 11-6 (40m)"
194,8,Quarter-finals,[5] Menna Hamed (EGY) bt [4] Lee Ka Yi (HKG),"11-8, 3-11, 11-7, 11-9 (39m)"
195,8,Quarter-finals,[9/16] Anna Kimberley (ENG) bt [9/16] Ali Loke (WAL),"11-5, 13-11, 11-6 (31m)"
196,8,Quarter-finals,[2] Danielle Letourneau (CAN) bt [6] Emilia Soini (FIN),"11-4, 11-9, 11-5 (30m)"
197,8,2nd round,[9/16] Nikki Todd (CAN) bt [1] Olivia Fiechter (USA),w/o
198,8,2nd round,[9/16] Alison Thomson (SCO) bt [8] Sarah Cardwell (AUS),"13-11, 2-11, 13-11, 3-11, 11-2 (59m)"
199,8,2nd round,[5] Menna Hamed (EGY) bt Grace Gear (ENG),"11-6, 11-8 ret. (20m)"
200,8,2nd round,[4] Lee Ka Yi (HKG) bt [9/16] Catalina Pelaez (COL),"11-5, 12-10, 11-5 (25m)"
201,8,2nd round,[9/16] Ali Loke (WAL) bt [3] Haley Mendez (USA),w/o
202,8,2nd round,[9/16] Anna Kimberley (ENG) bt [7] Vanessa Chu (HKG),"12-10, 11-4, 11-4 (30m)"
203,8,2nd round,[6] Emilia Soini (FIN) bt Alice Green (ENG),"13-11, 11-7, 4-11, 11-8 (40m)"
204,8,2nd round,[2] Danielle Letourneau (CAN) bt [9/16] Nicole Bunyan (CAN),"11-4, 11-5, 10-12, 11-6 (37m)"
205,8,1st round,[1] Olivia Fiechter (USA),bye
206,8,1st round,[9/16] Nikki Todd (CAN) bt Bruna Marchesi Petrillo (ITA),"11-1, 11-3, 11-7 (18m)"
207,8,1st round,[9/16] Alison Thomson (SCO) bt Mary Fung-A-Fat (GUY),"11-7, 11-4, 9-11, 11-5 (34m)"
208,8,1st round,[8] Sarah Cardwell (AUS),bye
209,8,1st round,[5] Menna Hamed (EGY),bye
210,8,1st round,Grace Gear (ENG) bt [9/16] Lily Taylor (ENG),"6-11, 11-7, 11-9, 13-11 (37m)"
211,8,1st round,[9/16] Catalina Pelaez (COL) bt [WC] Molly Chadwick (CAN),"11-1, 11-7, 6-11, 11-5 (25m)"
212,8,1st round,[4] Lee Ka Yi (HKG),bye
213,8,1st round,[3] Haley Mendez (USA),bye
214,8,1st round,[9/16] Ali Loke (WAL) bt Jelena Dutina (SRB),"11-4, 11-1, 11-2 (15m)"
215,8,1st round,[9/16] Anna Kimberley (ENG) bt Karina Tyma (POL),"11-7, 8-11, 11-9, 11-7 (59m)"
216,8,1st round,[7] Vanessa Chu (HKG),bye
217,8,1st round,[6] Emilia Soini (FIN),bye
218,8,1st round,Alice Green (ENG) bt [9/16] Diana Garcia (MEX),"11-9, 5-11, 7-11, 11-9, 11-7 (49m)"
219,8,1st round,[9/16] Nicole Bunyan (CAN) bt Nadiia Usenko (UKR),"11-4, 11-9, 11-4 (24m)"
220,8,1st round,[2] Danielle Letourneau (CAN),bye
221,9,Final,[9] Hania El Hammamy (EGY) bt [4] Nour El Sherbini (EGY),"11-6, 9-11, 12-10, 8-11, 13-11 (71m)"
222,9,Semi-finals,[4] Nour El Sherbini (EGY) bt [5] Nour El Tayeb (EGY),"9-11, 11-7, 11-9, 11-6 (46m)"
223,9,Semi-finals,[9] Hania El Hammamy (EGY) bt [7] Sarah-Jane Perry (ENG),"11-3, 6-11, 11-9, 7-11, 11-6 (69m)"
224,9,Quarter-finals,[5] Nour El Tayeb (EGY) bt [1] Raneem El Welily (EGY),"11-9, 9-11, 9-11, 12-10, 11-9 (72m)"
225,9,Quarter-finals,[4] Nour El Sherbini (EGY) bt Coline Aumard (FRA),"11-8, 11-5, 11-9 (27m)"
226,9,Quarter-finals,[9] Hania El Hammamy (EGY) bt [8] Amanda Sobhy (USA),"11-6, 6-11, 11-5, 11-8 (40m)"
227,9,Quarter-finals,[7] Sarah-Jane Perry (ENG) bt Nada Abbas (EGY),"12-10, 11-7, 11-3 (31m)"
